类型,谱例编号,图片路径,章节,分组,小节,图注
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1126427795_figure_large.jpg,第一章 循环与网格图,1-2 三和弦的网格,大三和弦,图1.21 C和弦的结构
谱例,9.94,E:\Documents\DeepSeeK\harmony-trainer\images\1126726404_figure_large.jpg,第九章 音乐的结构,9-6 和弦的伴奏音型,3. 快速交替,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1126726589_figure_largeshow.jpg,第十章 基础篇总结,10-1 基础和声总结,本书的思路,图10.1 本书的各章内容
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1126726728_figure_large.jpg,附录,附录一 附图,8. 大小调的近关系调,
谱例,3.15,E:\Documents\DeepSeeK\harmony-trainer\images\1126747155_figure_largeshow.jpg,第三章 小调和声,3-4 小调的借用和弦,属、下属和弦的借用,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1126764655_figure_largeshow.jpg,第三章 小调和声,3-3 大调的借用和弦,属、下属和弦的借用,图3.20 C大调与c自然小调的正三和弦
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1126764879_figure_large.jpg,第三章 小调和声,3-4 小调的借用和弦,属、下属和弦的借用,
谱例,3.5,E:\Documents\DeepSeeK\harmony-trainer\images\1127251777_figure_largeshow.jpg,第三章 小调和声,3-3 大调的借用和弦,属、下属和弦的借用,
谱例,7.39,E:\Documents\DeepSeeK\harmony-trainer\images\1128122954_figure_large.jpg,第七章 和弦外音,7-4 平行与反向和声,平行和声的应用,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1128123042_figure_large.jpg,第七章 和弦外音,7-4 平行与反向和声,平行和声的应用,
谱例,6.4,E:\Documents\DeepSeeK\harmony-trainer\images\1128755314_figure_large.jpg,第六章 排列与连接,6-2 音的排列,下疏上密中不空,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1129189798_figure_largeshow.jpg,第二章 大调和声,2-2 大调的正三和弦,准备、解决与曳动,图2.17 正三和弦各种进行的紧张度变化
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1130487040_figure_largeshow.jpg,第六章 排列与连接,6-1 谐音列与音程,谐音列与音程,图6.7 钢琴相距纯五度(100Hz与150Hz)两个音的频谱
谱例,8.10,E:\Documents\DeepSeeK\harmony-trainer\images\1130487153_figure_large.jpg,第八章 和弦变换,8-1 三和弦的变换（上）,大三度循环,
谱例,7.3,E:\Documents\DeepSeeK\harmony-trainer\images\1133124224_figure_large.jpg,第七章 和弦外音,7-1 和弦外音,经过音和辅助音,
谱例,9.110,E:\Documents\DeepSeeK\harmony-trainer\images\1133851442_figure_large.jpg,第九章 音乐的结构,9-7 曲式简介,奏鸣曲式,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1135363141_figure_largeshow.jpg,第七章 和弦外音,7-3 趋近和弦,连续趋近,图7.10 二五替换与三全音替换的联用
谱例,3.2,E:\Documents\DeepSeeK\harmony-trainer\images\1143580590_figure_largeshow.jpg,第三章 小调和声,3-2 和声分析与小调进行,五线谱的和声分析,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1143580625_figure_largeshow.jpg,第三章 小调和声,3-2 和声分析与小调进行,五线谱的和声分析,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1145990847_figure_largeshow.jpg,第六章 排列与连接,6-1 谐音列与音程,欣德米特的音序理论,图6.8 以C为中心的协和与不协和音
谱例,9.71,E:\Documents\DeepSeeK\harmony-trainer\images\1146199088_figure_largeshow.jpg,第九章 音乐的结构,9-6 和弦的伴奏音型,柱式和弦,
谱例,9.75,E:\Documents\DeepSeeK\harmony-trainer\images\1146199142_figure_largeshow.jpg,第九章 音乐的结构,9-6 和弦的伴奏音型,半分解和弦,
谱例,9.80,E:\Documents\DeepSeeK\harmony-trainer\images\1146199202_figure_largeshow.jpg,第九章 音乐的结构,9-6 和弦的伴奏音型,分解和弦,
谱例,9.85,E:\Documents\DeepSeeK\harmony-trainer\images\1146199756_figure_largeshow.jpg,第九章 音乐的结构,9-6 和弦的伴奏音型,分解和弦,
谱例,9.86,E:\Documents\DeepSeeK\harmony-trainer\images\1146199981_figure_largeshow.jpg,第九章 音乐的结构,9-6 和弦的伴奏音型,分解和弦,
谱例,9.76,E:\Documents\DeepSeeK\harmony-trainer\images\1146200367_figure_largeshow.jpg,第九章 音乐的结构,9-6 和弦的伴奏音型,半分解和弦,
谱例,9.80,E:\Documents\DeepSeeK\harmony-trainer\images\1146202021_figure_largeshow.jpg,第九章 音乐的结构,9-6 和弦的伴奏音型,分解和弦,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1146211017_figure_largeshow.jpg,第九章 音乐的结构,9-6 和弦的伴奏音型,分解和弦,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1146485715_figure_largeshow.jpg,第九章 音乐的结构,9-4 旋律线的创作,副旋律的创作,图9.13 旋律间关系的调整方法
谱例,9.51,E:\Documents\DeepSeeK\harmony-trainer\images\1146486025_figure_largeshow.jpg,第九章 音乐的结构,9-5 从节拍到节奏型,其它拍子种类,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1146680265_figure_largeshow.jpg,第八章 和弦变换,8-2 三和弦的变换（下）,和弦空间,图8.26 音高螺旋（左上）、彭罗斯阶梯（右上）与Elaine Chow的螺旋序列模型（下）
谱例,6.42,E:\Documents\DeepSeeK\harmony-trainer\images\1147502905_figure_large.jpg,第六章 排列与连接,6-4 和弦转位,同和弦转换,
谱例,6.1,E:\Documents\DeepSeeK\harmony-trainer\images\1147530563_figure_large.jpg,第六章 排列与连接,6-4 和弦转位,爵士和声的声部连接,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1172627180_figure_largeshow.jpg,第六章 排列与连接,6-4 和弦转位,特殊和弦的转位,图6.19 增三、减七和弦的转位
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1175130182_figure_largeshow.jpg,第六章 排列与连接,6-4 和弦转位,特殊和弦的转位,图6.19 G9的原位与所谓“转位”
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1177610520_figure_large.jpg,第一章 循环与网格图,1-1 音的循环,半音阶循环,图1.2 十二平均律下各音的频率比
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1177610631_figure_largeshow.jpg,第一章 循环与网格图,1-1 音的循环,半音阶循环,图1.3 半音阶循环
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1177610720_figure_largeshow.jpg,第一章 循环与网格图,1-1 音的循环,音程,图1.6 八度内的音程对照表
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1177933008_figure_large.jpg,第一章 循环与网格图,1-1 音的循环,半音阶循环,图1.5 钢琴键盘、五线谱（左边）与吉他指板的音名
谱例,8.21,E:\Documents\DeepSeeK\harmony-trainer\images\1177973987_figure_large.jpg,第八章 和弦变换,8-2 三和弦的变换（下）,增三和弦的游移,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1177974296_figure_large.jpg,第八章 和弦变换,8-2 三和弦的变换（下）,增三和弦的游移,图8.19 增三和弦与大、小三和弦的关系
谱例,8.19,E:\Documents\DeepSeeK\harmony-trainer\images\1187611636_figure_largeshow.jpg,第八章 和弦变换,8-2 三和弦的变换（下）,半音滑动,
谱例,6.2,E:\Documents\DeepSeeK\harmony-trainer\images\1189244033_figure_largeshow.jpg,第六章 排列与连接,6-1 谐音列与音程,谐音列与音程,
谱例,2.3,E:\Documents\DeepSeeK\harmony-trainer\images\1189397998_figure_large.jpg,第九章 音乐的结构,9-4 旋律线的创作,2. 旋律运动,
谱例,9.35,E:\Documents\DeepSeeK\harmony-trainer\images\1189398149_figure_largeshow.jpg,第九章 音乐的结构,9-4 旋律线的创作,2. 旋律运动,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1198137368_figure_large.jpg,第一章 循环与网格图,1-1 音的循环,音程,图1.8 大三度+小三度=纯五度
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1198137429_figure_largeshow.jpg,第四章 副调和弦,4-1 副调和弦,大调的其他副调,图4.8 C大调及其下中音调a小调
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1198157389_figure_large.jpg,第十章 基础篇总结,10-1 基础和声总结,和声的发展历史,图10.8 不同时期作品和声进行的弦图
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1198164676_figure_large.jpg,第四章 副调和弦,4-1 副调和弦,小调的副调和弦,图4.13 Stephen Mugglin总结的大小调和弦进行
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1198165137_figure_largeshow.jpg,第四章 副调和弦,4-1 副调和弦,大调的下属调,图4.7 C大调的重下属和声组
谱例,7.56,E:\Documents\DeepSeeK\harmony-trainer\images\1198214325_figure_largeshow.jpg,第七章 和弦外音,7-5 非三度和声,四度与五度和声,
谱例,7.57,E:\Documents\DeepSeeK\harmony-trainer\images\1198214449_figure_largeshow.jpg,第七章 和弦外音,7-5 非三度和声,四度与五度和声,
谱例,7.63,E:\Documents\DeepSeeK\harmony-trainer\images\1198452491_figure_large.jpg,第七章 和弦外音,7-5 非三度和声,二度和声与音簇,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1198452591_figure_largeshow.jpg,第七章 和弦外音,7-5 非三度和声,四度与五度和声,图7.15 CΔ和弦改造为四度、五度排列
谱例,7.62,E:\Documents\DeepSeeK\harmony-trainer\images\1199580259_figure_largeshow.jpg,第七章 和弦外音,7-5 非三度和声,二度和声与音簇,
谱例,9.39,E:\Documents\DeepSeeK\harmony-trainer\images\1203845708_figure_largeshow.jpg,第九章 音乐的结构,9-4 旋律线的创作,从和声出发的创作,
谱例,9.40,E:\Documents\DeepSeeK\harmony-trainer\images\1203845863_figure_largeshow.jpg,第九章 音乐的结构,9-4 旋律线的创作,从和声出发的创作,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1203845940_figure_largeshow.jpg,第九章 音乐的结构,9-4 旋律线的创作,副旋律的创作,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1203846079_figure_largeshow.jpg,第九章 音乐的结构,9-4 旋律线的创作,副旋律的创作,
谱例,7.13,E:\Documents\DeepSeeK\harmony-trainer\images\1203867567_figure_largeshow.jpg,第七章 和弦外音,7-2 经过、辅助与倚音和弦,经过和弦,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1207749601_figure_largeshow.jpg,第三章 小调和声,3-4 小调的借用和弦,小调向大调的借用,图3.24 a小调基准下借用A大调三和弦的级数
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1207750417_figure_largeshow.jpg,第三章 小调和声,3-4 小调的借用和弦,交替大小调体系,图3.29 C交替大小调的功能组
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1207763587_figure_largeshow.jpg,第三章 小调和声,3-4 小调的借用和弦,关系调与同名调的循环,图3.30 从C大调出发的一系列关系调和同名调
谱例,8.16,E:\Documents\DeepSeeK\harmony-trainer\images\1208262999_figure_largeshow.jpg,第八章 和弦变换,8-1 三和弦的变换（上）,小三度循环与巴托克轴心,
谱例,9.109,E:\Documents\DeepSeeK\harmony-trainer\images\1209685069_figure_largeshow.jpg,第九章 音乐的结构,9-7 曲式简介,三部曲式,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1209694414_figure_largeshow.jpg,第五章 变化与延伸,5-4 高叠和弦及其变音,七和弦的延伸,图5.40 C大调属七和弦的延伸
